Student_ID,Student_Name,Mathematics,Physics,Chemistry,Computer_Science,English,Statistics,Average,Category
S0316,Olivia Green,82.5,79.1,98.6,89.5,93.3,93.7,89.45,Above Average
S0317,Sofia Baker,91.2,100,68.7,86.7,92.5,97.6,89.45,Above Average
S0318,Vera Rivera,82.6,81.2,80.3,74.1,79.0,63.8,76.83,Above Average
S0319,Isla Collins,78.5,77.6,78.5,73.6,71.7,76.7,76.1,Above Average
S0320,Jack Peterson,45.0,61.8,57.5,52.7,66.2,63.3,57.75,Below Average
S0321,Laura Cook,62.7,47.3,53.0,48.4,52.3,38.8,50.42,Below Average
S0322,Mike Clark,68.9,54.6,73.4,57.1,63.6,75.8,65.57,Below Average
S0323,George Jackson,65.2,88.0,77.6,80.8,69.2,79.0,76.63,Above Average
S0324,Mike Martinez,59.5,77.3,99.8,79.7,91.9,92.9,83.52,Above Average
S0325,Kevin Scott,69.0,61.5,40.1,60.1,58.5,65.6,59.13,Below Average
S0326,Carol Gray,89.0,81.1,64.6,75.4,67.6,75.8,75.58,Above Average
S0327,Tom Wright,89.8,80.1,80.6,81.4,93.8,89.1,85.8,Above Average
S0328,Ivan Walker,84.1,100,99.0,82.4,100,97.9,93.9,Above Average
S0329,Vera Cox,78.6,76.2,70.8,70.6,70.9,66.7,72.3,Above Average
S0330,Liam Wilson,61.1,57.2,66.2,57.5,51.3,64.7,59.67,Below Average
S0331,Beth Cook,79.0,71.3,55.1,70.9,67.3,77.2,70.13,Above Average
S0332,Bella Robinson,59.4,64.7,76.7,63.9,56.1,65.9,64.45,Below Average
S0333,David Carter,72.9,84.2,88.1,86.0,69.2,86.4,81.13,Above Average
S0334,Alice White,85.9,84.1,92.4,87.2,89.5,82.7,86.97,Above Average
S0335,Demi White,41.1,46.4,38.5,43.3,54.3,45.7,44.88,Below Average
S0336,Eva Phillips,56.0,69.4,66.7,59.7,70.2,41.3,60.55,Below Average
S0337,Zane Martinez,78.0,90.2,82.4,96.8,93.8,84.7,87.65,Above Average
S0338,Zara Lewis,78.9,73.4,64.8,95.1,93.1,79.1,80.73,Above Average
S0339,Vera Torres,47.4,62.4,66.6,61.4,53.0,43.4,55.7,Below Average
S0340,Alice Hall,69.8,58.2,65.6,47.6,65.9,64.1,61.87,Below Average
S0341,Paul Scott,67.9,80.4,67.5,82.8,77.7,75.5,75.3,Above Average
S0342,Xander Adams,66.6,62.7,66.8,65.7,64.6,60.4,64.47,Below Average
S0343,Kevin Brown,51.8,44.1,49.8,37.9,56.8,39.6,46.67,Below Average
S0344,Uma Baker,52.9,56.5,57.4,66.7,49.4,51.0,55.65,Below Average
S0345,Karen Baker,61.7,39.9,55.4,61.8,66.6,59.6,57.5,Below Average
S0346,Karen Rivera,72.2,64.3,77.3,75.9,81.7,71.9,73.88,Above Average
S0347,Frank Reed,79.6,60.1,71.1,70.6,96.5,80.1,76.33,Above Average
S0348,Chris Turner,74.3,68.3,60.3,77.8,75.2,75.3,71.87,Above Average
S0349,Olivia Thomas,83.6,68.5,58.5,85.1,81.2,78.6,75.92,Above Average
S0350,Eva Jackson,76.7,64.7,81.6,82.2,73.1,63.3,73.6,Above Average
S0351,Carol Adams,100,86.2,100,90.0,98.1,91.2,94.25,Above Average
S0352,Holly Anderson,75.6,85.6,83.6,85.9,68.4,69.2,78.05,Above Average
S0353,Fiona Scott,76.0,88.8,86.3,72.1,87.7,83.9,82.47,Above Average
S0354,Aaron Roberts,70.0,40.1,64.8,55.9,54.5,60.8,57.68,Below Average
S0355,Holly Phillips,60.0,63.1,66.4,63.4,76.8,60.6,65.05,Below Average
S0356,Ethan Perez,61.3,76.2,68.4,72.6,68.0,73.8,70.05,Above Average
S0357,Ivan Cooper,64.4,78.7,57.7,56.8,66.6,62.7,64.48,Below Average
S0358,Demi Anderson,94.9,99.7,94.4,78.5,91.7,89.1,91.38,Above Average
S0359,Tom Allen,83.3,81.9,84.6,100,85.4,79.8,85.83,Above Average
S0360,Fiona White,77.4,75.6,74.4,82.1,90.4,72.6,78.75,Above Average
S0361,Mia Rivera,94.3,98.5,77.5,84.3,86.5,69.7,85.13,Above Average
S0362,Yusuf Wilson,67.2,45.1,65.6,56.2,65.6,55.3,59.17,Below Average
S0363,Grace Hall,74.0,80.6,86.2,75.2,50.3,67.0,72.22,Above Average
S0364,Julia Rogers,74.5,59.0,58.7,75.3,69.1,58.8,65.9,Below Average
S0365,Vera Rogers,74.7,82.4,70.1,55.9,63.0,71.3,69.57,Below Average
S0366,Liam Parker,50.5,69.8,47.9,49.2,64.0,62.3,57.28,Below Average
S0367,Victor Morgan,85.2,77.0,92.1,96.2,78.4,75.5,84.07,Above Average
S0368,Victor Baker,60.5,55.4,52.4,48.0,57.9,42.6,52.8,Below Average
S0369,David King,63.6,64.6,67.6,65.9,55.4,49.8,61.15,Below Average
S0370,Zara Howard,76.0,81.6,89.2,96.6,88.5,85.9,86.3,Above Average
S0371,Bob Walker,75.4,62.5,85.6,73.3,74.3,92.3,77.23,Above Average
S0372,Victor Parker,77.0,58.6,57.8,52.0,53.9,51.2,58.42,Below Average
S0373,Bella Taylor,84.5,90.3,80.8,65.0,76.1,70.8,77.92,Above Average
S0374,Tina Garcia,74.2,72.1,58.8,64.7,68.3,67.8,67.65,Below Average
S0375,Frank Clark,69.5,75.9,80.0,82.6,90.5,88.5,81.17,Above Average
S0376,Henry Lewis,72.0,61.2,75.0,66.2,65.1,63.9,67.23,Below Average
S0377,Xander Ward,69.8,74.6,68.7,65.0,81.5,62.1,70.28,Above Average
S0378,Tom Stewart,79.1,76.1,72.3,61.6,69.5,63.6,70.37,Above Average
S0379,David Richardson,67.3,72.8,58.3,70.5,56.9,61.5,64.55,Below Average
S0380,Zane Torres,83.4,80.4,73.4,77.9,61.5,72.2,74.8,Above Average
S0381,Jack Wilson,81.7,89.0,82.9,85.7,89.5,87.6,86.07,Above Average
S0382,Sofia Green,77.7,87.5,79.7,81.9,67.8,85.0,79.93,Above Average
S0383,Aaron Martinez,90.4,70.1,80.0,67.3,82.9,97.5,81.37,Above Average
S0384,Laura Perez,74.2,69.6,79.5,81.8,55.5,63.2,70.63,Above Average
S0385,Grace Gray,97.0,92.0,72.8,100,77.2,87.4,87.73,Above Average
S0386,Ethan White,93.2,96.6,80.5,81.3,82.9,94.1,88.1,Above Average
S0387,Faith Hall,68.2,64.4,71.6,65.6,75.8,72.5,69.68,Below Average
S0388,Carl Carter,69.7,52.6,67.7,61.0,57.9,74.6,63.92,Below Average
S0389,Yusuf Cooper,75.3,60.9,61.5,47.1,70.0,56.0,61.8,Below Average
S0390,Hannah Howard,77.7,81.5,80.4,76.8,77.6,71.7,77.62,Above Average
S0391,Yusuf Cox,55.0,64.1,71.1,57.5,59.2,59.1,61.0,Below Average
S0392,Xander Reed,75.2,80.1,65.0,74.6,83.5,67.2,74.27,Above Average
S0393,Paul Young,59.6,67.8,56.8,52.0,56.7,62.2,59.18,Below Average
S0394,Carl Rogers,65.7,65.1,79.0,68.9,65.1,58.6,67.07,Below Average
S0395,Olivia Collins,78.7,67.7,65.4,87.1,57.6,69.5,71.0,Above Average
S0396,Aaron Johnson,61.4,70.4,71.4,55.2,58.0,53.4,61.63,Below Average
S0397,Demi Allen,65.3,60.7,73.0,56.3,56.4,94.7,67.73,Below Average
S0398,Carl Richardson,66.0,82.3,68.9,69.9,76.4,76.0,73.25,Above Average
S0399,Rachel Edwards,73.3,56.6,51.2,64.6,63.4,61.7,61.8,Below Average
S0400,David Rivera,80.1,59.6,65.3,75.0,72.2,72.4,70.77,Above Average
S0401,Fiona Clark,79.6,69.6,72.6,68.5,61.2,76.0,71.25,Above Average
S0402,Olivia Morris,76.3,86.9,99.9,83.3,74.5,89.3,85.03,Above Average
S0403,Faith Turner,77.6,78.6,78.7,79.1,61.6,79.2,75.8,Above Average
S0404,Victor Collins,94.9,92.5,88.3,81.7,90.2,81.6,88.2,Above Average
S0405,Quinn Campbell,80.6,49.8,68.6,49.0,56.0,80.7,64.12,Below Average
S0406,George Wilson,88.2,77.1,82.1,85.4,85.5,79.4,82.95,Above Average
S0407,Mia Hall,64.5,66.3,54.0,53.8,70.5,60.6,61.62,Below Average
S0408,Oscar Anderson,57.3,60.9,53.1,60.0,59.9,48.0,56.53,Below Average
S0409,Karen Carter,63.0,82.4,82.8,68.9,80.2,75.8,75.52,Above Average
S0410,Ivan Jackson,69.8,52.7,82.6,63.7,70.7,71.9,68.57,Below Average
S0411,Alice Edwards,65.4,76.1,66.3,78.7,76.8,70.1,72.23,Above Average
S0412,Carol Lewis,84.5,73.3,66.5,74.9,65.0,81.1,74.22,Above Average
S0413,Isla Hall,85.7,85.9,81.1,98.1,77.8,91.6,86.7,Above Average
S0414,Isla Harris,72.0,62.4,76.8,79.7,71.7,71.2,72.3,Above Average
S0415,Faith Edwards,81.3,96.2,79.2,65.3,61.5,83.6,77.85,Above Average
S0416,Aiden Baker,66.9,81.2,69.7,75.0,70.5,63.6,71.15,Above Average
S0417,Tina Scott,52.7,61.3,73.5,72.5,74.1,72.8,67.82,Below Average
S0418,Henry Clark,86.6,86.2,85.4,88.8,82.9,93.4,87.22,Above Average
S0419,Mia Allen,62.7,78.2,71.4,74.0,87.1,68.8,73.7,Above Average
S0420,Ryan Lee,85.4,64.4,70.6,68.8,80.9,77.9,74.67,Above Average
S0421,Vera Cook,83.1,82.2,100,76.9,88.0,83.4,85.6,Above Average
S0422,Carol Cox,72.7,90.3,71.3,88.5,87.5,83.9,82.37,Above Average
S0423,Carol Johnson,73.1,86.2,89.2,72.3,86.8,85.1,82.12,Above Average
S0424,Beth Hall,71.6,75.7,74.5,66.8,56.6,78.6,70.63,Above Average
S0425,Aaron Scott,47.8,68.6,67.3,77.1,66.2,63.8,65.13,Below Average
S0426,Laura Nelson,86.4,71.1,85.8,89.6,81.3,84.0,83.03,Above Average
S0427,Sofia Ward,70.8,100,100,95.3,94.4,95.0,92.58,Above Average
S0428,Uma Johnson,71.3,63.1,75.8,64.2,54.4,65.9,65.78,Below Average
S0429,Ryan Howard,72.6,63.2,60.9,61.1,59.2,57.5,62.42,Below Average
S0430,Yara Davis,92.3,78.2,89.5,86.7,84.0,83.2,85.65,Above Average
S0431,Demi Nelson,73.5,94.8,90.7,87.7,100,91.9,89.77,Above Average
S0432,Priya King,69.8,78.0,60.7,78.3,59.7,79.7,71.03,Above Average
S0433,Chris Walker,88.7,80.2,79.3,73.6,87.7,85.8,82.55,Above Average
S0434,Mike Evans,61.1,59.2,61.2,67.6,65.0,74.0,64.68,Below Average
S0435,Beth Brown,67.3,74.7,93.3,71.1,73.9,75.7,76.0,Above Average
S0436,Ryan Martin,89.5,82.1,72.4,71.3,74.6,79.7,78.27,Above Average
S0437,Grace White,77.5,88.9,71.3,78.0,86.5,84.5,81.12,Above Average
S0438,Demi Wright,80.9,92.3,80.4,84.5,77.9,75.3,81.88,Above Average
S0439,Sofia Campbell,100,79.8,92.9,69.5,89.5,100,88.62,Above Average
S0440,Julia Gray,62.9,76.9,84.9,66.2,82.9,66.0,73.3,Above Average
S0441,Liam Cook,70.8,68.2,65.1,67.0,89.1,64.7,70.82,Above Average
S0442,Paul Robinson,74.2,84.4,76.1,94.0,87.1,88.3,84.02,Above Average
S0443,Faith Morgan,47.8,42.3,46.9,48.1,38.8,50.1,45.67,Below Average
S0444,Sofia Allen,83.8,78.0,74.7,59.0,84.4,89.1,78.17,Above Average
S0445,Oscar Walker,53.9,57.2,63.0,78.8,62.6,59.2,62.45,Below Average
S0446,Ivan Clark,55.4,43.6,53.2,49.7,47.5,51.2,50.1,Below Average
S0447,David Jackson,83.7,81.8,68.5,71.5,72.0,70.9,74.73,Above Average
S0448,Ivan White,58.5,70.9,55.1,56.1,58.8,61.9,60.22,Below Average
S0449,Priya Turner,67.2,64.6,49.2,60.1,58.7,54.9,59.12,Below Average
S0450,Zara Morris,76.5,89.8,86.5,80.9,70.3,70.9,79.15,Above Average
S0451,Eli Baker,69.3,81.5,73.6,85.1,74.7,73.7,76.32,Above Average
S0452,Chris Anderson,62.6,59.1,72.1,56.4,61.1,61.0,62.05,Below Average
S0453,Rachel Turner,76.1,71.8,70.7,52.9,75.3,89.2,72.67,Above Average
S0454,Oscar Evans,82.6,73.2,81.4,69.1,90.1,84.4,80.13,Above Average
S0455,Liam Perez,88.9,76.4,90.0,89.7,88.0,86.6,86.6,Above Average
S0456,Xander Clark,85.1,95.6,56.0,77.4,92.6,62.3,78.17,Above Average
S0457,Alice Wilson,58.1,74.8,59.4,51.0,51.7,62.7,59.62,Below Average
S0458,Holly Bailey,69.8,59.7,56.1,60.7,75.0,54.5,62.63,Below Average
S0459,Xander Mitchell,68.0,92.7,80.9,79.6,85.2,80.8,81.2,Above Average
S0460,Yusuf Roberts,58.7,67.4,72.4,80.6,72.5,81.5,72.18,Above Average
S0461,Carl Kim,92.7,87.7,69.1,64.7,84.0,89.2,81.23,Above Average
S0462,Bob Adams,79.5,77.8,84.5,82.2,80.0,83.1,81.18,Above Average
S0463,Beth Martin,78.1,74.6,84.9,79.2,89.7,83.0,81.58,Above Average
S0464,Vera Evans,85.1,78.0,87.8,77.3,67.0,80.3,79.25,Above Average
S0465,Sam Bailey,55.5,62.0,83.5,54.6,75.7,70.2,66.92,Below Average
S0466,Will Wright,77.9,58.4,70.2,84.2,68.4,89.3,74.73,Above Average
S0467,Vera Collins,65.5,41.9,48.2,52.1,52.1,43.4,50.53,Below Average
S0468,James Lee,59.0,76.0,69.5,59.3,53.7,69.5,64.5,Below Average
S0469,George Davis,81.3,79.2,72.0,82.5,89.5,85.9,81.73,Above Average
S0470,Diana Collins,46.9,51.2,56.6,54.7,51.8,44.1,50.88,Below Average
S0471,Victor Allen,92.6,93.1,90.7,89.8,80.0,73.6,86.63,Above Average
S0472,Tina Rogers,68.1,71.9,72.5,82.3,76.4,77.4,74.77,Above Average
S0473,Olivia Reed,62.6,73.5,67.6,69.4,54.9,63.8,65.3,Below Average
S0474,Tina Carter,69.9,73.0,62.6,65.1,77.4,71.2,69.87,Below Average
S0475,Quinn Cook,73.5,77.0,76.3,73.6,75.5,68.5,74.07,Above Average
S0476,Laura Harris,74.4,60.4,37.9,58.1,52.4,68.4,58.6,Below Average
S0477,Xander Wright,89.0,74.7,68.8,66.1,77.5,67.9,74.0,Above Average
S0478,Ryan Garcia,88.9,68.7,76.9,77.4,71.9,79.8,77.27,Above Average
S0479,Liam Phillips,85.0,100,86.1,81.2,89.5,90.5,88.72,Above Average
S0480,Eva Thompson,84.0,87.3,90.3,100,79.8,92.5,88.98,Above Average
S0481,Diana Ward,100,92.4,100,83.1,96.0,100,95.25,Above Average
S0482,Ivan Phillips,69.3,74.3,56.2,72.6,68.9,55.6,66.15,Below Average
S0483,Yara Peterson,82.1,77.1,67.4,78.5,58.0,90.6,75.62,Above Average
S0484,Chris Taylor,74.2,82.6,72.2,77.5,79.0,82.1,77.93,Above Average
S0485,Beth Wilson,58.4,63.5,68.9,61.3,57.3,55.7,60.85,Below Average
S0486,Aiden Smith,62.8,66.8,59.0,60.3,45.9,61.3,59.35,Below Average
S0487,Karen Thompson,80.3,67.3,96.6,74.1,72.3,82.7,78.88,Above Average
S0488,Eli Nelson,57.2,63.2,38.5,41.5,52.1,45.4,49.65,Below Average
S0489,Ryan Mitchell,83.0,65.4,77.6,65.4,67.1,67.4,70.98,Above Average
S0490,George Morris,71.8,78.0,83.3,81.0,74.1,74.3,77.08,Above Average
S0491,Zara Roberts,65.9,61.8,66.5,54.1,56.9,77.0,63.7,Below Average
S0492,Priya Green,51.9,58.4,69.0,62.2,61.4,73.8,62.78,Below Average
S0493,Zara Murphy,67.5,59.5,46.7,59.1,56.8,66.3,59.32,Below Average
S0494,Olivia Peterson,86.3,77.1,88.0,76.5,86.9,93.8,84.77,Above Average
S0495,Zara Johnson,64.8,78.4,67.2,64.0,60.3,63.7,66.4,Below Average
S0496,Priya Campbell,76.9,93.0,70.5,80.8,75.4,89.2,80.97,Above Average
S0497,Xena Harris,61.3,46.4,54.9,48.3,52.0,51.5,52.4,Below Average
S0498,Uma Wright,80.9,66.7,75.2,71.2,70.6,86.4,75.17,Above Average
S0499,Karen Kim,82.6,69.4,83.3,70.6,62.8,85.7,75.73,Above Average
S0500,Alice Rivera,100,100,100,94.2,100,100,99.03,Above Average
S0501,Frank Parker,85.3,94.5,82.4,71.0,81.8,67.7,80.45,Above Average
S0502,Beth Anderson,49.9,48.7,58.8,66.5,57.5,49.2,55.1,Below Average
S0503,Carol Bailey,54.6,60.8,65.1,66.0,61.6,65.0,62.18,Below Average
S0504,Rachel Murphy,62.4,79.0,67.6,75.0,84.4,73.2,73.6,Above Average
S0505,Julia Clark,59.6,63.3,66.0,72.0,64.5,78.3,67.28,Below Average
S0506,Zane Phillips,73.9,69.1,58.7,68.6,61.7,68.8,66.8,Below Average
S0507,Henry Rivera,62.3,49.0,59.4,62.8,71.4,56.2,60.18,Below Average
S0508,Paul Bell,74.2,93.3,74.5,66.1,87.6,74.6,78.38,Above Average
S0509,Quinn Martinez,65.8,58.6,68.6,58.9,48.5,50.4,58.47,Below Average
S0510,Tom Richardson,83.3,90.4,73.1,91.7,78.3,92.4,84.87,Above Average
S0511,Liam Nelson,73.9,64.2,66.4,68.3,50.3,73.5,66.1,Below Average
S0512,Paul Morgan,90.6,96.5,92.2,100,94.1,83.8,92.87,Above Average
S0513,Yusuf Kim,77.8,84.5,73.0,91.3,76.2,90.5,82.22,Above Average
S0514,Xander Evans,59.1,81.6,73.6,58.8,65.1,70.9,68.18,Below Average
S0515,Xena Peterson,59.4,59.9,55.8,51.7,58.6,61.9,57.88,Below Average
S0516,Wendy Wright,79.7,60.2,67.0,71.9,63.9,70.1,68.8,Below Average
S0517,Alice Johnson,59.7,72.7,71.1,69.9,62.7,66.1,67.03,Below Average
S0518,Nina Hall,75.2,88.5,84.5,93.5,70.6,92.8,84.18,Above Average
S0519,Rachel Baker,78.6,69.6,72.1,79.9,78.4,75.5,75.68,Above Average
S0520,Yara Jackson,97.0,100,93.3,96.4,88.9,93.1,94.78,Above Average
S0521,Glen Cox,54.7,58.2,70.4,61.8,77.7,65.4,64.7,Below Average
S0522,Karen Brown,74.9,79.6,75.5,70.6,73.4,67.4,73.57,Above Average
S0523,Xander Turner,46.4,46.9,58.4,44.4,61.3,43.3,50.12,Below Average
S0524,Priya Collins,40.7,57.0,60.8,69.2,48.5,61.4,56.27,Below Average
S0525,Chris Ward,91.8,67.1,91.1,94.3,78.2,94.1,86.1,Above Average
S0526,Nina Phillips,52.1,76.4,73.0,70.1,62.0,77.3,68.48,Below Average
S0527,Uma Robinson,57.6,73.1,53.5,74.8,57.5,53.8,61.72,Below Average
S0528,Karen Anderson,72.8,67.0,70.9,76.3,69.8,57.0,68.97,Below Average
S0529,Noah Taylor,69.9,76.1,64.2,80.7,72.3,41.4,67.43,Below Average
S0530,Grace Thompson,63.5,63.7,73.2,62.7,67.7,79.0,68.3,Below Average
S0531,Chris Edwards,89.3,83.3,84.2,71.2,96.2,88.2,85.4,Above Average
S0532,Eli Roberts,71.1,57.8,74.7,76.5,51.5,59.2,65.13,Below Average
S0533,Will Edwards,75.2,74.9,73.6,88.9,76.2,81.7,78.42,Above Average
S0534,Tina Young,73.2,79.6,86.9,77.8,77.4,72.8,77.95,Above Average
S0535,Sam Nelson,51.5,40.7,54.8,50.0,67.1,57.3,53.57,Below Average
S0536,Julia Young,62.8,71.9,51.0,58.9,54.0,45.3,57.32,Below Average
S0537,Carl King,76.1,66.1,66.1,76.3,62.4,70.7,69.62,Below Average
S0538,Priya Morgan,56.8,61.8,64.2,65.8,65.6,66.0,63.37,Below Average
S0539,Diana Evans,57.8,47.2,54.5,66.4,71.5,75.4,62.13,Below Average
S0540,Sam Robinson,82.5,82.5,79.9,76.6,82.0,77.0,80.08,Above Average
S0541,Aiden Lewis,66.0,66.6,84.1,78.3,75.8,75.2,74.33,Above Average
S0542,Liam Jackson,70.1,61.6,64.3,66.1,77.8,63.2,67.18,Below Average
S0543,Yara Murphy,80.0,86.3,80.7,80.6,77.4,78.2,80.53,Above Average
S0544,Yara Morris,83.1,60.4,71.9,75.8,64.6,54.8,68.43,Below Average
S0545,Henry Thompson,62.8,60.3,64.0,51.2,43.3,62.7,57.38,Below Average
S0546,Alice Taylor,87.7,74.6,80.0,88.4,95.1,82.7,84.75,Above Average
S0547,Tom Nelson,65.1,70.2,63.4,57.2,69.4,58.2,63.92,Below Average
S0548,Xena Edwards,100,100,100,100,100,100,100.0,Above Average
S0549,Uma Turner,63.8,79.8,68.8,81.1,88.3,74.1,75.98,Above Average
S0550,Glen White,68.5,77.8,73.6,88.9,78.9,81.8,78.25,Above Average
S0551,Wendy Walker,64.6,79.6,55.5,68.1,69.9,74.7,68.73,Below Average
S0552,Quinn Roberts,80.1,80.5,75.3,74.4,80.9,81.7,78.82,Above Average
S0553,Demi Young,67.6,71.3,61.9,65.8,71.5,64.2,67.05,Below Average
S0554,Julia Davis,64.5,65.3,67.4,66.9,66.9,69.4,66.73,Below Average
S0555,Carl Thomas,75.1,77.4,76.6,84.5,75.6,66.2,75.9,Above Average
S0556,Nina Rogers,78.8,79.6,83.3,93.5,98.9,82.4,86.08,Above Average
S0557,Priya Carter,85.8,81.2,94.7,83.9,100,100,90.93,Above Average
S0558,Zara Reed,68.2,61.8,45.0,55.5,59.5,55.1,57.52,Below Average
S0559,Noah Perez,95.2,82.7,86.8,81.8,86.8,84.3,86.27,Above Average
S0560,Will Turner,63.4,68.6,61.8,60.9,55.2,69.7,63.27,Below Average
S0561,Faith Kim,80.2,69.9,80.0,91.5,99.9,68.8,81.72,Above Average
S0562,Xander Scott,76.7,67.5,74.3,65.1,70.8,73.8,71.37,Above Average
S0563,Yusuf Turner,77.5,88.7,78.1,69.9,88.0,90.9,82.18,Above Average
S0564,Hannah Thomas,77.0,70.0,68.5,75.7,71.3,69.0,71.92,Above Average
S0565,Beth Rogers,67.7,73.4,83.1,80.6,82.3,79.3,77.73,Above Average
S0566,Quinn Young,78.4,69.8,73.5,80.5,64.3,69.3,72.63,Above Average
S0567,Noah Cook,84.7,72.2,82.4,91.4,74.0,82.9,81.27,Above Average
S0568,Priya Lewis,81.3,70.5,56.9,76.6,73.5,63.7,70.42,Above Average
S0569,Faith Cooper,54.0,56.6,56.1,46.4,31.1,56.9,50.18,Below Average
S0570,Oscar King,73.8,67.9,60.3,74.0,58.9,75.6,68.42,Below Average
S0571,Zane Baker,61.8,79.5,76.8,73.3,67.9,67.6,71.15,Above Average
S0572,Will Brown,77.7,81.8,76.8,88.8,79.3,70.9,79.22,Above Average
S0573,Ethan Turner,83.5,66.6,71.4,85.6,75.7,76.2,76.5,Above Average
S0574,Bella Walker,77.3,71.8,87.7,86.8,78.0,85.3,81.15,Above Average
S0575,Wendy Parker,49.1,64.1,67.0,66.8,47.5,54.3,58.13,Below Average
S0576,Irene Cooper,64.2,75.1,70.2,73.7,74.2,69.7,71.18,Above Average
S0577,Paul Evans,86.5,94.2,92.5,92.3,90.0,92.0,91.25,Above Average
S0578,Noah Morgan,67.5,71.5,66.7,71.9,59.9,74.2,68.62,Below Average
S0579,Jack Rogers,69.8,61.0,65.4,76.0,72.6,68.3,68.85,Below Average
S0580,Nina Robinson,100,96.5,100,93.1,90.6,100,96.7,Above Average
S0581,Ryan Young,72.4,81.3,65.0,74.5,81.3,77.2,75.28,Above Average
S0582,Eli Parker,66.2,70.2,62.3,71.2,72.7,70.5,68.85,Below Average
S0583,Paul Gray,60.0,57.7,64.3,57.1,67.5,57.2,60.63,Below Average
S0584,George Robinson,70.0,55.4,77.9,54.1,66.5,64.0,64.65,Below Average
S0585,Julia Robinson,80.9,70.3,76.4,72.5,64.1,66.6,71.8,Above Average
S0586,Sofia Martin,41.0,55.3,43.9,53.2,43.2,44.7,46.88,Below Average
S0587,Priya Thomas,50.2,57.4,60.3,49.6,40.2,63.2,53.48,Below Average
S0588,Holly Murphy,76.5,79.9,71.2,61.7,46.9,58.3,65.75,Below Average
S0589,Uma Richardson,77.2,87.7,69.7,79.0,90.3,68.6,78.75,Above Average
S0590,Glen Edwards,87.6,79.2,82.5,78.1,87.2,94.2,84.8,Above Average
S0591,Nina Evans,80.7,71.1,76.1,67.5,63.4,66.9,70.95,Above Average
S0592,George Cox,49.4,51.6,48.4,70.5,55.0,59.6,55.75,Below Average
S0593,Mia Martin,94.7,98.3,92.6,80.7,98.8,100,94.18,Above Average
S0594,Eva Anderson,91.4,60.2,76.7,63.6,66.5,78.4,72.8,Above Average
S0595,Paul Green,70.4,68.4,61.3,64.9,79.3,68.6,68.82,Below Average
S0596,Hannah Collins,65.9,46.0,47.2,54.8,57.0,53.8,54.12,Below Average
S0597,Paul Perez,33.1,46.2,40.4,40.5,18.1,41.7,36.67,Below Average
S0598,Faith Lewis,85.0,77.5,87.3,89.8,94.7,78.0,85.38,Above Average
S0599,Glen Davis,57.8,63.1,60.2,59.7,64.8,63.1,61.45,Below Average
S0600,Zane Scott,61.9,64.3,46.4,67.6,75.8,52.6,61.43,Below Average
S0601,Frank Thompson,74.6,63.1,59.6,63.8,60.7,61.1,63.82,Below Average
S0602,Uma King,52.5,34.1,52.0,52.6,53.3,54.9,49.9,Below Average
S0603,Karen Peterson,73.5,62.7,56.0,68.0,70.4,66.1,66.12,Below Average
S0604,Vera Murphy,81.7,73.7,82.5,90.8,75.9,75.1,79.95,Above Average
S0605,Xena Thompson,86.8,71.5,86.2,78.8,80.2,88.5,82.0,Above Average
S0606,Diana Scott,79.1,93.1,100,89.9,87.3,100,91.57,Above Average
S0607,Beth Cooper,79.0,81.0,76.5,75.3,75.6,64.4,75.3,Above Average
S0608,Victor Peterson,67.6,66.3,69.1,64.1,61.8,75.8,67.45,Below Average
S0609,Tom Parker,53.6,71.2,55.3,56.8,59.8,59.0,59.28,Below Average
S0610,Beth Martinez,62.3,46.1,69.8,65.1,72.9,72.5,64.78,Below Average
S0611,Victor Perez,67.8,65.6,67.6,44.9,55.3,61.6,60.47,Below Average
S0612,Mike Gray,74.0,58.9,57.1,77.9,70.4,81.5,69.97,Below Average
S0613,Nina Allen,82.0,73.9,87.1,72.3,87.1,91.2,82.27,Above Average
S0614,Oscar Bailey,77.6,76.7,75.3,37.9,60.0,69.9,66.23,Below Average
S0615,Julia Rivera,69.9,72.8,77.0,72.5,64.2,63.8,70.03,Above Average
S0616,Sofia Hall,64.6,82.3,70.1,70.3,74.8,78.0,73.35,Above Average
S0617,Victor Gray,43.8,62.9,48.5,48.3,60.8,67.2,55.25,Below Average
S0618,Zara Cooper,51.4,69.4,66.1,56.9,61.6,55.8,60.2,Below Average
S0619,Ivan Smith,88.5,81.9,60.8,63.9,93.6,76.3,77.5,Above Average
S0620,Yara Edwards,70.3,73.9,70.9,71.8,85.3,84.3,76.08,Above Average
S0621,Tina Reed,74.0,83.4,87.2,89.4,78.5,87.1,83.27,Above Average
S0622,Hannah Lewis,66.6,70.0,68.3,64.3,71.0,68.3,68.08,Below Average
S0623,Aaron Nelson,75.1,72.8,85.5,82.6,72.8,71.3,76.68,Above Average
S0624,Grace Cooper,99.8,89.1,95.6,89.9,97.9,92.0,94.05,Above Average
S0625,Eli Perez,84.3,94.7,84.0,84.7,74.5,82.6,84.13,Above Average
S0626,Yusuf Stewart,68.4,66.7,69.0,57.0,69.7,73.6,67.4,Below Average
S0627,Yusuf Baker,61.8,69.6,70.7,77.3,64.8,75.5,69.95,Below Average
S0628,Rachel Davis,94.5,76.0,76.6,78.8,74.6,96.6,82.85,Above Average
S0629,Ivan Baker,75.4,76.9,73.3,72.2,77.0,65.0,73.3,Above Average
S0630,Glen Campbell,75.4,74.9,76.7,86.3,81.1,88.4,80.47,Above Average
